titulo,link
"01. Todo candidato a Líder deverá: a) Ter no mínimo 16 anos completos para iniciar a classe e, no mínimo, 18 anos completos para a investidura.",https://clubes.adventistas.org/br/reply-card-member/7/1412/3021/
"02. Ter concluído todas as Classes Regulares, ou estar simultaneamente cumprindo os Requisitos do Agrupadas e Líder.",https://clubes.adventistas.org/br/reply-card-member/7/1391/2961/
03. Ser membro ativo de um Clube ou estar participando de uma coordenação distrital ou regional. E estar com o cadastro atualizado no SGC - Sistema de Gerenciamento de Clubes.,https://clubes.adventistas.org/br/reply-card-member/7/1393/2963/
05. Conduzir ou colaborar na liderança de um dos seguintes:,https://clubes.adventistas.org/br/reply-card-member/7/156/336/
"02. Ser Conselheiro, Conselheiro associado, Instrutor, Diretor, Diretor associado, Secretário ou Capelão do Clube por, no mínimo, um ano.",https://clubes.adventistas.org/br/reply-card-member/7/160/342/
"05. Fazer pelo menos 4 visitas (uma por trimestre) à família de um Desbravador com o propósito de inspirar confiança nos pais e compreender melhor o seu Desbravador. Se for permitido, fazer uma breve meditação e/ou oração com a família.",https://clubes.adventistas.org/br/reply-card-member/7/1427/3000/
01. Ser instrutor de uma Classe regular até a investidura.,https://clubes.adventistas.org/br/reply-card-member/7/163/345/
"02. Completar um destes mestrados: Zoologia, Botânica ou Atividades Recreativas.",https://clubes.adventistas.org/br/reply-card-member/7/164/346/
03. Completar a especialidade de Arte de contar histórias cristãs.,https://clubes.adventistas.org/br/reply-card-member/7/165/347/
